leaid,ncessch,report_dis,report_race,report_sex,counselors_fte,psych_fte,law_fte
0400214,040021401980,0,0,0,1,0,0
0400217,040021702010,0,1,0,0,0,0
0400218,040021801913,0,0,0,0,0,0
0400219,040021902011,0,0,0,0,0,0
0400219,040021902328,0,0,0,0,0,0
0400219,040021902338,0,0,0,0,0,0
0400219,040021902367,0,0,0,0,0,0
0400221,040022101921,0,0,0,0,0,0
0400223,040022302199,0,0,0,0,0,0
0400225,040022501887,1,1,1,1,1,0
0400227,040022702017,0,0,0,0,0,0
0400229,040022901918,0,0,0,0,0,0
0400230,040023002171,0,0,0,0,0,0
0400231,040023102021,0,0,1,1,0,0
0400232,040023202022,0,0,0,1,1,0
0400235,040023503157,0,0,0,0,0,0
0400237,040023701925,0,0,0,0,0,0
0400238,040023801854,0,0,0,0,0,0
0400239,040023902533,0,0,0,0,0,0
0400241,040024102029,0,0,0,1,1,0
0400241,040024102957,0,0,0,1,1,0
0400243,040024302030,0,0,0,0,0,0
0400244,040024401855,0,0,0,1,0,0
0400244,040024402153,0,0,0,0,0,0
0400246,040024601856,0,0,0,0,0,0
0400246,040024603028,0,0,0,0,0,0
0400246,040024603494,0,0,0,0,0,0
0400248,040024801923,1,0,0,1,0,0
0400248,040024803089,0,0,0,1,0,0
0400254,040025402074,0,0,0,1,0,0
0400254,040025403420,0,0,0,1,0,0
0400255,040025502075,0,1,1,1,1,0
0400258,040025802079,0,0,0,0,0,0
0400259,040025902080,0,0,0,0,1,0
0400261,040026101916,0,0,0,1,1,0
0400263,040026302083,0,0,0,0,0,0
0400264,040026402084,0,0,0,0,0,0
0400266,040026602089,0,0,0,0,0,0
0400267,040026702091,0,0,0,0,0,0
0400268,040026802092,0,0,0,0,0,0
0400274,040027402020,0,0,0,0,0,0
0400275,040027502077,0,0,0,0,0,0
0400276,040027601841,0,0,0,1,0,0
0400278,040027802168,0,0,0,0,0,0
0400279,040027902170,0,0,0,0,0,0
0400280,040028002186,0,0,0,1,0,0
0400281,040028102187,0,0,1,1,1,0
0400282,040028202232,0,1,0,0,0,0
0400282,040028202993,0,0,0,0,0,0
0400282,040028203457,0,0,0,0,0,0
0400284,040028402095,0,0,0,0,0,0
0400285,040028502173,0,0,0,0,0,0
0400288,040028802176,0,1,1,0,0,1
0400290,040029002177,0,0,0,0,0,0
0400295,040029500149,0,0,0,0,0,0
0400295,040029500326,0,0,0,0,0,1
0400295,040029500327,0,0,0,0,0,0
0400295,040029500328,0,0,0,0,0,0
0400295,040029500881,0,0,0,1,1,1
0400295,040029501126,0,0,0,1,0,0
0400295,040029501495,0,0,0,0,0,0
0400295,040029501544,0,0,0,0,0,0
0400295,040029502661,0,0,0,1,0,1
0400295,040029503234,0,0,0,1,0,0
0400295,040029503325,0,0,0,1,0,1
0400303,040030302181,0,0,0,0,0,0
0400310,040031002370,0,0,0,1,0,0
0400311,040031102151,0,0,0,0,0,0
0400311,040031102919,0,0,0,1,0,0
0400311,040031103001,0,0,0,1,0,0
0400311,040031103144,0,0,0,1,0,0
0400311,040031103186,0,0,0,1,0,0
0400311,040031103189,0,0,0,0,0,0
0400311,040031103292,0,0,0,1,0,0
0400315,040031502217,0,0,0,1,1,0
0400315,040031503318,0,0,0,1,1,0
0400317,040031702202,0,0,0,0,1,0
0400318,040031802203,0,0,0,1,0,0
0400320,040032002227,0,0,0,0,0,0
0400320,040032002576,0,0,0,0,0,0
0400321,040032103565,0,0,0,1,0,0
0400321,NA,0,0,0,NA,NA,NA
0400322,040032202205,0,0,0,0,0,0
0400323,040032302159,0,0,0,0,0,0
0400326,040032602162,0,0,0,0,1,0
0400327,040032702163,0,1,0,1,0,1
0400327,040032702291,0,1,0,0,0,0
0400327,040032702372,0,0,0,0,0,0
0400328,040032802228,0,0,0,0,0,0
0400329,040032903159,0,0,0,1,1,0
0400330,040033002206,0,0,0,1,0,0
0400332,040033202165,0,0,0,0,0,0
0400339,040033901939,0,0,0,0,0,0
0400340,040034001940,0,0,0,1,1,0
0400343,040034302246,0,0,0,0,0,0
0400343,040034303003,0,0,0,0,0,0
0400344,040034403467,0,0,0,0,0,0
0400350,040035002286,0,0,0,0,1,0
0400351,040035102148,0,0,0,1,0,0
0400352,040035201898,0,0,1,0,0,0
0400353,040035301896,0,0,1,1,0,1
0400354,040035401733,0,0,0,0,0,0
0400355,040035501734,0,0,0,0,0,1
0400356,040035602287,0,0,0,0,0,0
0400357,040035701732,0,0,0,0,0,0
0400359,040035902292,0,0,0,0,0,0
0400361,040036102299,0,0,0,1,0,0
0400361,040036103165,0,0,0,1,0,0
0400361,040036103312,0,0,0,0,0,0
0400363,040036302300,0,0,0,0,0,0
0400364,040036400804,0,0,0,1,0,0
0400364,040036402985,0,0,0,1,0,0
0400366,040036602302,1,0,1,0,0,0
0400367,040036702303,0,0,0,1,0,0
0400367,040036703531,0,0,0,1,0,0
0400368,040036802037,0,0,0,0,0,0
0400370,040037001597,0,0,0,0,0,0
0400373,040037302311,0,0,0,0,0,0
0400373,040037302397,0,0,0,0,0,0
0400373,040037302889,0,0,0,0,0,0
0400373,040037302936,0,0,0,0,0,0
0400374,040037402169,0,0,0,0,0,0
0400376,040037602313,0,0,0,0,0,0
0400377,040037702314,0,0,0,0,0,0
0400381,040038102319,0,0,0,0,0,0
0400381,040038102866,0,0,0,0,0,0
0400382,040038202331,0,0,0,1,0,0
0400384,040038401899,0,0,0,0,0,0
0400385,040038502016,0,0,0,0,0,1
0400386,040038601894,0,0,0,0,0,0
0400387,040038701735,0,0,0,0,0,0
0400388,040038801736,0,0,1,0,0,1
0400389,040038901737,0,0,0,1,0,0
0400391,040039103074,0,0,0,0,0,0
0400393,040039302297,0,0,0,0,1,0
0400394,040039402323,0,0,0,0,0,0
0400395,040039502305,0,0,0,0,0,0
0400395,040039502536,0,0,0,0,0,0
0400395,040039502826,0,0,0,0,0,0
0400395,040039503335,0,0,0,0,0,0
0400396,040039602306,0,0,0,0,0,0
0400397,040039703119,0,0,0,0,0,0
0400399,040039902325,0,0,0,0,0,0
0400401,040040101866,0,0,0,0,0,0
0400402,040040201860,0,0,0,0,0,0
0400402,040040203429,0,0,0,0,0,0
0400403,040040301989,0,0,0,1,0,0
0400404,040040401993,0,0,0,1,0,0
0400405,040040502053,0,0,0,1,0,0
0400406,040040602036,0,0,0,0,0,0
0400407,040040702404,0,0,0,1,0,0
0400407,040040702558,0,0,0,0,0,0
0400407,040040703448,0,0,0,0,0,0
0400409,040040902406,0,0,0,1,NA,0
0400413,040041302411,0,0,1,0,0,0
0400413,040041302986,0,0,1,0,0,0
0400414,040041402412,0,0,0,1,0,0
0400415,040041502414,0,0,0,0,0,0
0400417,040041701588,0,0,0,0,0,0
0400419,040041902897,0,0,0,0,1,0
